# service activation status -- generated by tools/inventory/service_activation.py
# orphans and reference-only rows are the Wave-1 promotion backlog (docs/EJLIVE-ENGINEERING-PROMPT.md SS17)
type,namespace,project,file,consumers,construction_sites,activation,activated_from
AgentConfigurationXmlService,EJLive.Client.Service,EJLive.Client.Service,src/EJLive.Client.Service/AgentConfigurationXmlService.cs,5,0,orphan,
AlertManager,EJLive.Core.Services,EJLive.Business,src/EJLive.Business/BusinessAdapters.cs,5,0,reference-only,ServerServiceController.cs
AtmSnapshotStore,EJLive.Core.Server,EJLive.Core,src/EJLive.Core/Server/ServerCoreServices.cs,0,0,orphan,
CashReplenishmentEngine,EJLive.Core.Server,EJLive.Core,src/EJLive.Core/Server/ServerCoreServices.cs,0,0,orphan,
ChunkedTransferEngine,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/ChunkedTransferEngine.cs,4,0,orphan,
ClientAgentWindowsService,EJLive.Client.Service,EJLive.Client.Service,src/EJLive.Client.Service/ClientAgentWindowsService.cs,3,0,orphan,
ClientTelemetryAnalyticsService,EJLive.Core.Services,EJLive.Core,src/EJLive.Core/Services/ClientTelemetryAnalyticsService.cs,4,2,host,Program.cs
ClientTelemetryHistoryService,EJLive.Server.Services,EJLive.Server,src/EJLive.Server/Services/ClientTelemetryStateService.cs,1,0,orphan,
ClientTelemetryStateService,EJLive.Server.Services,EJLive.Server,src/EJLive.Server/Services/ClientTelemetryStateService.cs,1,1,host,ServerMainForm.cs
CommandSigningEngine,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/CommandSigningEngine.cs,2,1,registry,SecurityHardeningTests.cs
ControlledDiagnosticCommandService,EJLive.Core.Services,EJLive.Core,src/EJLive.Core/Services/ControlledDiagnosticCommandService.cs,1,1,host,Program.cs
CorrelationEngine,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/CorrelationEngine.cs,4,0,orphan,
DashboardSnapshotService,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/DashboardSnapshotService.cs,1,1,registry,DashboardSnapshotTests.cs
DatabaseManager,EJLive.Core.Services,EJLive.Business,src/EJLive.Business/BusinessAdapters.cs,20,2,registry,ActiveCore.cs
DatabaseMigrationRunner,EJLive.Core.Data,EJLive.Core,src/EJLive.Core/Data/DatabaseMigrationContracts.cs,1,0,orphan,
DatabaseMigrationsRunner,EJLive.Core.Data,EJLive.Core,src/EJLive.Core/Data/DatabaseMigrationsRunner.cs,0,1,registry,DatabaseMigrationsRunner.cs
EjParserRegistry,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/EjParserRegistry.cs,9,2,registry,EjParserRegistry.cs
FileBasedCredentialStore,EJLive.Core.Services,EJLive.Core,src/EJLive.Core/Services/RoleBasedAccess.cs,0,0,orphan,
FileDistributionEngine,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/FileDistributionEngine.cs,1,1,registry,FileDistributionTests.cs
FileWatcherEngine,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/FileWatcherEngine.cs,5,0,reference-only,ClientSyncBridge.cs
FleetPredictionEngine,EJLive.Core.Engine,EJLive.Core,src/EJLive.Core/Engine/FleetPredictionEngine.cs,0,0,reference-only,MainDashboardForm.cs
